Airline,Source,Destination,Duration,Total stops,Date,Departure time,Arrival time,Price
Etihad Airways,TLV,BKK,13u 50m ,1 stop ,2023-04-17,14:30,8:20,€ 501 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-17,19:35,12:55,€ 517 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-17,22:35,14:00,€ 716 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-17,23:55,18:55,€ 517 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-17,19:35,18:55,€ 517 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-17,12:45,12:15,€ 517 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-04-17,11:00,7:35,€ 559 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-17,1:45,18:55,€ 615 
Gulf Air,TLV,BKK,20u 10m ,1 stop ,2023-04-17,9:20,9:30,€ 494 
Ethiopian Air,TLV,BKK,23u 15m ,1 stop ,2023-04-17,10:00,13:15,€ 504 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-17,12:45,12:55,€ 517 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-18,12:45,7:35,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-18,23:45,15:10,€ 408 
"BlueBird Airways, Scoot",TLV,BKK,30u 50m ,2 stops ,2023-04-18,8:10,19:00,€ 325 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-18,0:35,15:15,€ 418 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-18,19:35,12:15,€ 498 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-18,19:35,12:55,€ 498 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-18,12:45,7:35,€ 458 
Ethiopian Air,TLV,BKK,16u 25m ,1 stop ,2023-04-18,15:35,12:00,€ 489 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-18,1:45,18:55,€ 498 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-18,23:45,15:10,€ 630 
Gulf Air,TLV,BKK,17u 55m ,2 stops ,2023-04-18,17:40,15:35,€ 405 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-18,22:10,19:35,€ 447 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-18,23:55,18:55,€ 498 
EL AL,TLV,BKK,15u 55m ,1 stop ,2023-04-18,0:45,20:40,€ 558 
"EL AL, Bangkok Airways",TLV,BKK,15u 55m ,1 stop ,2023-04-18,0:45,20:40,€ 564 
Turkish Airlines,TLV,BKK,14u 15m ,1 stop ,2023-04-18,12:05,6:20,€ 703 
Meerdere maatschappijen,TLV,BKK,17u 40m ,2 stops ,2023-04-18,6:40,4:20,€ 472 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-19,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-19,23:45,15:10,€ 413 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-19,19:35,12:15,€ 465 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-19,19:35,12:55,€ 465 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-19,23:45,15:10,€ 630 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-19,12:45,7:35,€ 465 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-19,1:45,18:55,€ 508 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-04-19,19:10,15:15,€ 418 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-19,23:55,18:55,€ 508 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-19,13:25,7:35,€ 549 
Turkish Airlines,TLV,BKK,14u 15m ,1 stop ,2023-04-19,12:05,6:20,€ 704 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-04-19,14:20,8:20,€ 772 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-19,12:45,12:15,€ 465 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-19,12:45,12:55,€ 465 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-19,19:35,18:55,€ 506 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-04-19,11:00,7:35,€ 549 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-20,14:35,10:00,€ 527 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-20,23:45,15:10,€ 410 
"Wizz Air Abu Dhabi, GoFirst",TLV,BKK,22u 50m ,2 stops ,2023-04-20,10:10,13:00,€ 395 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-20,0:35,15:15,€ 418 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-20,19:35,12:55,€ 459 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-20,12:45,7:35,€ 459 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-20,23:55,18:55,€ 459 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-20,1:45,18:55,€ 500 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-20,14:35,10:00,€ 506 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-20,13:25,7:35,€ 540 
Ethiopian Air,TLV,BKK,16u 25m ,1 stop ,2023-04-20,15:35,12:00,€ 489 
Cathay Pacific,TLV,BKK,16u 55m ,1 stop ,2023-04-20,14:35,11:30,€ 506 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-04-20,11:00,7:35,€ 540 
Turkish Airlines,TLV,BKK,14u 15m ,1 stop ,2023-04-20,12:05,6:20,€ 704 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-20,23:45,15:10,€ 709 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-20,19:35,12:15,€ 725 
Etihad Airways,TLV,BKK,13u 20m ,1 stop ,2023-04-20,15:00,8:20,€ 772 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-21,1:45,18:55,€ 475 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-04-21,19:10,15:15,€ 418 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-21,1:45,18:55,€ 461 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-21,19:35,12:55,€ 461 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-21,12:45,7:35,€ 461 
Royal Jordanian,TLV,BKK,26u 50m ,1 stop ,2023-04-21,8:25,15:15,€ 418 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-21,12:45,12:55,€ 461 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-21,19:35,12:15,€ 543 
Emirates,TLV,BKK,25u 50m ,1 stop ,2023-04-21,1:45,7:35,€ 461 
Emirates,TLV,BKK,27u 40m ,1 stop ,2023-04-21,23:55,7:35,€ 466 
Emirates,TLV,BKK,26u 10m ,1 stop ,2023-04-21,12:45,18:55,€ 475 
Ethiopian Air,TLV,BKK,23u 15m ,1 stop ,2023-04-21,10:00,13:15,€ 489 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-21,23:55,18:55,€ 502 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-21,19:35,18:55,€ 502 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-21,12:45,12:15,€ 502 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-21,13:25,7:35,€ 598 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-22,19:35,12:55,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-22,22:35,14:00,€ 451 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-22,0:35,15:15,€ 418 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-22,19:35,12:55,€ 465 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-22,19:35,12:15,€ 505 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-22,22:35,14:00,€ 709 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-22,12:45,7:35,€ 465 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-22,23:55,18:55,€ 466 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-22,1:45,18:55,€ 508 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-22,22:10,19:35,€ 451 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-22,19:35,18:55,€ 465 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-22,12:45,12:55,€ 465 
Ethiopian Air,TLV,BKK,17u 40m ,1 stop ,2023-04-22,15:35,13:15,€ 489 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-22,13:25,7:35,€ 603 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-22,12:45,12:15,€ 505 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-04-22,11:00,7:35,€ 603 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-23,19:35,12:55,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-23,22:35,14:00,€ 413 
Meerdere maatschappijen,TLV,BKK,32u 20m ,3 stops ,2023-04-23,7:00,19:20,€ 333 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-23,0:35,15:15,€ 418 
"EL AL, Scoot",TLV,BKK,21u 30m ,2 stops ,2023-04-23,7:00,8:30,€ 380 
"EL AL, Scoot",TLV,BKK,22u 50m ,2 stops ,2023-04-23,7:00,9:50,€ 380 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-23,1:45,18:55,€ 463 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-23,19:35,12:55,€ 463 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-23,12:45,7:35,€ 463 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-23,22:35,14:00,€ 630 
"BlueBird Airways, Scoot",TLV,BKK,20u 10m ,2 stops ,2023-04-23,8:20,8:30,€ 402 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-23,22:10,19:35,€ 445 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-23,13:25,7:35,€ 503 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-23,14:35,10:00,€ 510 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-23,19:35,12:15,€ 544 
"BlueBird Airways, Scoot",TLV,BKK,21u 30m ,2 stops ,2023-04-23,8:20,9:50,€ 402 
"Hahn Air Systems, Scoot",TLV,BKK,20u 10m ,2 stops ,2023-04-23,8:20,8:30,€ 433 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-24,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-24,22:35,14:00,€ 413 
Meerdere maatschappijen,TLV,BKK,39u 35m ,3 stops ,2023-04-24,21:55,17:30,€ 364 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-04-24,19:10,15:15,€ 418 
Meerdere maatschappijen,TLV,BKK,14u 05m ,2 stops ,2023-04-24,13:40,7:45,€ 423 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-24,19:35,12:15,€ 466 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-24,19:35,12:55,€ 466 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-24,12:45,7:35,€ 466 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-24,22:35,14:00,€ 630 
Royal Jordanian,TLV,BKK,26u 50m ,1 stop ,2023-04-24,8:25,15:15,€ 418 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-24,23:55,18:55,€ 466 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-24,19:35,18:55,€ 466 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-24,1:45,18:55,€ 507 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-24,13:25,7:35,€ 507 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-24,12:45,12:15,€ 466 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-24,12:45,12:55,€ 466 
Emirates,TLV,BKK,26u 10m ,1 stop ,2023-04-24,12:45,18:55,€ 467 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-25,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-25,23:45,15:10,€ 412 
Gulf Air,TLV,BKK,17u 55m ,2 stops ,2023-04-25,17:40,15:35,€ 384 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-25,0:35,15:15,€ 418 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-25,19:35,12:15,€ 462 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-25,22:10,19:35,€ 450 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-25,19:35,12:55,€ 462 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-25,12:45,7:35,€ 462 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-25,1:45,18:55,€ 466 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-25,23:55,18:55,€ 466 
Ethiopian Air,TLV,BKK,16u 25m ,1 stop ,2023-04-25,15:35,12:00,€ 489 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-25,14:35,10:00,€ 509 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-25,23:45,15:10,€ 630 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-25,19:35,18:55,€ 462 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-25,12:45,12:15,€ 462 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-25,12:45,12:55,€ 462 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-26,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-26,23:45,15:10,€ 412 
"Wizz Air, Scoot",TLV,BKK,43u 10m ,3 stops ,2023-04-26,19:50,19:00,€ 385 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-04-26,19:10,15:15,€ 418 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-26,19:35,12:15,€ 461 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-26,19:35,12:55,€ 461 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-26,12:45,7:35,€ 461 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-26,1:45,18:55,€ 466 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-04-26,14:20,8:20,€ 474 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-26,23:45,15:10,€ 630 
Royal Jordanian,TLV,BKK,26u 50m ,1 stop ,2023-04-26,8:25,15:15,€ 418 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-26,19:35,18:55,€ 461 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-26,23:55,18:55,€ 466 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-26,12:45,12:15,€ 461 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-26,12:45,12:55,€ 461 
Ethiopian Air,TLV,BKK,23u 15m ,1 stop ,2023-04-26,10:00,13:15,€ 489 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-26,13:25,7:35,€ 508 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-27,14:35,10:00,€ 527 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-27,23:45,15:10,€ 413 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-27,0:35,15:15,€ 418 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-04-27,14:35,10:00,€ 527 
Cathay Pacific,TLV,BKK,16u 55m ,1 stop ,2023-04-27,14:35,11:30,€ 527 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-27,23:45,15:10,€ 630 
Cathay Pacific,TLV,BKK,21u 55m ,1 stop ,2023-04-27,14:35,16:30,€ 527 
Cathay Pacific,TLV,BKK,23u 25m ,1 stop ,2023-04-27,14:35,18:00,€ 527 
"Pegasus Airlines, Qatar Airways",TLV,BKK,21u 55m ,2 stops ,2023-04-27,11:15,13:10,€ 562 
"Pegasus Airlines, Qatar Airways",TLV,BKK,21u 05m ,2 stops ,2023-04-27,11:15,12:20,€ 604 
"Pegasus Airlines, Qatar Airways",TLV,BKK,19u 20m ,2 stops ,2023-04-27,6:55,6:15,€ 704 
"Pegasus Airlines, Qatar Airways",TLV,BKK,16u 55m ,2 stops ,2023-04-27,16:15,13:10,€ 753 
"Pegasus Airlines, Qatar Airways",TLV,BKK,21u 05m ,2 stops ,2023-04-27,5:10,6:15,€ 704 
"Pegasus Airlines, Qatar Airways",TLV,BKK,21u 55m ,2 stops ,2023-04-27,11:15,13:10,€ 753 
Austrian Airlines,TLV,BKK,16u 10m ,1 stop ,2023-04-27,15:20,11:30,€ 1004 
Lufthansa,TLV,BKK,17u 00m ,1 stop ,2023-04-27,17:10,14:10,€ 1017 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-28,19:35,12:15,€ 475 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-04-28,14:20,8:20,€ 380 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-04-28,19:10,15:15,€ 418 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-28,19:35,12:15,€ 458 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-28,19:35,12:55,€ 458 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-28,12:45,7:35,€ 458 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-28,1:45,18:55,€ 466 
Royal Jordanian,TLV,BKK,26u 50m ,1 stop ,2023-04-28,8:25,15:15,€ 418 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-28,19:35,18:55,€ 458 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-28,12:45,12:15,€ 458 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-28,12:45,12:55,€ 458 
Emirates,TLV,BKK,26u 10m ,1 stop ,2023-04-28,12:45,18:55,€ 458 
Emirates,TLV,BKK,25u 50m ,1 stop ,2023-04-28,1:45,7:35,€ 465 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-28,23:55,18:55,€ 466 
"Royal Jordanian, Qatar Airways",TLV,BKK,17u 50m ,2 stops ,2023-04-28,8:25,6:15,€ 529 
"EL AL, EVA Air",TLV,BKK,23u 20m ,1 stop ,2023-04-28,6:40,10:00,€ 546 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-29,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-04-29,22:35,14:00,€ 410 
"Ryanair, Scoot",TLV,BKK,29u 50m ,3 stops ,2023-04-29,22:40,8:30,€ 321 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-29,0:35,15:15,€ 418 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-04-29,19:35,12:15,€ 465 
Thai Airways,TLV,BKK,11u 25m ,direct ,2023-04-29,22:35,14:00,€ 629 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-29,22:10,19:35,€ 445 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-29,1:45,18:55,€ 465 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-29,19:35,12:55,€ 465 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-04-29,14:20,8:20,€ 474 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-29,12:45,7:35,€ 465 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-04-29,23:55,18:55,€ 465 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-29,19:35,18:55,€ 465 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-29,12:45,12:15,€ 465 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-04-29,12:45,12:55,€ 465 
Ethiopian Air,TLV,BKK,17u 40m ,1 stop ,2023-04-29,15:35,13:15,€ 487 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-04-29,13:25,7:35,€ 506 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-30,19:35,12:55,€ 475 
EL AL,TLV,BKK,11u 15m ,direct ,2023-04-30,22:45,14:00,€ 411 
"Aegean Airlines, Scoot",TLV,BKK,18u 30m ,2 stops ,2023-04-30,10:00,8:30,€ 365 
"Arkia, Scoot",TLV,BKK,20u 40m ,2 stops ,2023-04-30,7:50,8:30,€ 369 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-04-30,0:35,15:15,€ 420 
"Aegean Airlines, Scoot",TLV,BKK,19u 50m ,2 stops ,2023-04-30,10:00,9:50,€ 375 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-04-30,19:35,12:55,€ 461 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-04-30,12:45,7:35,€ 461 
Thai Airways,TLV,BKK,11u 15m ,direct ,2023-04-30,22:45,14:00,€ 629 
"Arkia, Scoot",TLV,BKK,22u 00m ,2 stops ,2023-04-30,7:50,9:50,€ 380 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-04-30,22:10,19:35,€ 445 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-04-30,19:35,18:55,€ 461 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-04-30,12:45,12:15,€ 461 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-04-30,14:20,8:20,€ 474 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-04-30,1:45,18:55,€ 502 
"EL AL, Scoot",TLV,BKK,21u 30m ,2 stops ,2023-04-30,7:00,8:30,€ 407 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-01,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 15m ,direct ,2023-05-01,22:45,14:00,€ 409 
Meerdere maatschappijen,TLV,BKK,40u 35m ,3 stops ,2023-05-01,20:55,17:30,€ 341 
Etihad Airways,TLV,BKK,13u 50m ,1 stop ,2023-05-01,14:30,8:20,€ 448 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-01,19:35,12:15,€ 459 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-05-01,19:35,12:55,€ 459 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-05-01,19:10,15:15,€ 418 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-05-01,12:45,7:35,€ 459 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-05-01,1:45,18:55,€ 465 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-05-01,13:25,7:35,€ 508 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-05-01,23:55,18:55,€ 465 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-05-01,11:00,7:35,€ 508 
"Royal Jordanian, Qatar Airways",TLV,BKK,14u 20m ,2 stops ,2023-05-01,0:35,18:55,€ 527 
Gulf Air,TLV,BKK,20u 10m ,1 stop ,2023-05-01,9:20,9:30,€ 450 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-05-01,19:35,18:55,€ 459 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-05-01,12:45,12:15,€ 459 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-05-01,12:45,12:55,€ 459 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-05-02,14:35,10:00,€ 527 
EL AL,TLV,BKK,11u 25m ,direct ,2023-05-02,22:35,14:00,€ 410 
"Aegean Airlines, Scoot",TLV,BKK,23u 20m ,2 stops ,2023-05-02,5:10,8:30,€ 375 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-05-02,0:35,15:15,€ 418 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-05-02,14:20,8:20,€ 414 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-02,19:35,12:15,€ 460 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-05-02,19:35,12:55,€ 460 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-05-02,1:45,18:55,€ 460 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-05-02,12:45,7:35,€ 460 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-05-02,13:25,7:35,€ 500 
Cathay Pacific,TLV,BKK,15u 25m ,1 stop ,2023-05-02,14:35,10:00,€ 507 
Gulf Air,TLV,BKK,17u 55m ,2 stops ,2023-05-02,17:40,15:35,€ 383 
Air India,TLV,BKK,17u 25m ,1 stop ,2023-05-02,22:10,19:35,€ 445 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-05-02,23:55,18:55,€ 460 
Ethiopian Air,TLV,BKK,16u 25m ,1 stop ,2023-05-02,15:35,12:00,€ 487 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-05-02,11:00,7:35,€ 500 
Cathay Pacific,TLV,BKK,16u 55m ,1 stop ,2023-05-02,14:35,11:30,€ 507 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-05-03,19:35,12:55,€ 475 
EL AL,TLV,BKK,11u 15m ,direct ,2023-05-03,22:45,14:00,€ 411 
Meerdere maatschappijen,TLV,BKK,33u 40m ,3 stops ,2023-05-03,18:50,8:30,€ 385 
Etihad Airways,TLV,BKK,14u 00m ,1 stop ,2023-05-03,14:20,8:20,€ 414 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-03,19:35,12:15,€ 461 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-05-03,19:35,12:55,€ 461 
Royal Jordanian,TLV,BKK,16u 05m ,1 stop ,2023-05-03,19:10,15:15,€ 418 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-05-03,12:45,7:35,€ 461 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-05-03,1:45,18:55,€ 465 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-05-03,13:25,7:35,€ 507 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-05-03,23:55,18:55,€ 465 
Emirates,TLV,BKK,16u 35m ,1 stop ,2023-05-03,11:00,7:35,€ 507 
Turkish Airlines,TLV,BKK,14u 15m ,1 stop ,2023-05-03,12:05,6:20,€ 702 
Emirates,TLV,BKK,19u 20m ,1 stop ,2023-05-03,19:35,18:55,€ 461 
Emirates,TLV,BKK,19u 30m ,1 stop ,2023-05-03,12:45,12:15,€ 461 
Emirates,TLV,BKK,20u 10m ,1 stop ,2023-05-03,12:45,12:55,€ 461 
Emirates,TLV,BKK,18u 50m ,1 stop ,2023-05-03,13:25,12:15,€ 507 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-04,19:35,12:15,€ 475 
EL AL,TLV,BKK,11u 25m ,direct ,2023-05-04,22:35,14:00,€ 410 
Royal Jordanian,TLV,BKK,10u 40m ,1 stop ,2023-05-04,0:35,15:15,€ 418 
Etihad Airways,TLV,BKK,13u 20m ,1 stop ,2023-05-04,15:00,8:20,€ 437 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-05-04,19:35,12:15,€ 460 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-05-04,19:35,12:55,€ 460 
Emirates,TLV,BKK,13u 10m ,1 stop ,2023-05-04,1:45,18:55,€ 460 
Emirates,TLV,BKK,14u 50m ,1 stop ,2023-05-04,12:45,7:35,€ 460 
Emirates,TLV,BKK,14u 10m ,1 stop ,2023-05-04,13:25,7:35,€ 500 
Emirates,TLV,BKK,15u 00m ,1 stop ,2023-05-04,23:55,18:55,€ 460 
